Motivo de utilizar o projétil;Porcentagem
  Qualidade/Desempenho;32,5
  Preço/Custo-Benefício;25,5
  Confiança/Costume/Parceria;23,5
  Disponibilidade/Logística/Facilidade de compra;23,0
  Disponibilidade/Logística;11,25
  Não Sabe/Sem Opinião;9,75
  Mais conhecida / Tradição ;3,25
    Mais conhecida;2,5
    Tradição / Tempo no mercado;0,75
  É a única fabricante do modelo;3,0
  Peso mais preciso / Melhor balanceado;1,0
  Amigos indicam;0,5
  Indústria grande;0,5
  Maior varidade de modelos;0,5
  Não é importada;0,5
  O clube não tem máquina de recarga;0,25
