UF;Perfil;Porcentagem
  Alagoas;Usuário Final;0,5
  Bahia;Usuário Final;4,5
  Ceará;Usuário Final;2,0
  Distrito Federal;Usuário Final;3,0
  Espírito Santo;Usuário Final;3,0
  Goiás;Usuário Final;3,0
  Mato Grosso;Usuário Final;2,0
  Mato Grosso do Sul;Usuário Final;2,5
  Minas Gerais;Usuário Final;10,5
  Pará;Usuário Final;0,0
  Paraíba;Usuário Final;0,5
  Paraná;Usuário Final;6,0
  Pernambuco;Usuário Final;4,0
  Rio de Janeiro;Usuário Final;7,5
  Rio Grande do Norte;Usuário Final;0,0
  Rio Grande do Sul;Usuário Final;10,5
  Rondônia;Usuário Final;0,0
  Santa Catarina;Usuário Final;6,5
  São Paulo;Usuário Final;32,5
  Tocantins;Usuário Final;1,5
  Alagoas;Gestor de Clube;0,0
  Bahia;Gestor de Clube;3,0
  Ceará;Gestor de Clube;4,0
  Distrito Federal;Gestor de Clube;6,0
  Espírito Santo;Gestor de Clube;2,0
  Goiás;Gestor de Clube;3,0
  Mato Grosso;Gestor de Clube;0,0
  Mato Grosso do Sul;Gestor de Clube;0,0
  Minas Gerais;Gestor de Clube;18,0
  Pará;Gestor de Clube;2,0
  Paraíba;Gestor de Clube;4,0
  Paraná;Gestor de Clube;7,0
  Pernambuco;Gestor de Clube;0,0
  Rio de Janeiro;Gestor de Clube;4,0
  Rio Grande do Norte;Gestor de Clube;2,0
  Rio Grande do Sul;Gestor de Clube;10,0
  Rondônia;Gestor de Clube;3,0
  Santa Catarina;Gestor de Clube;7,0
  São Paulo;Gestor de Clube;23,0
  Tocantins;Gestor de Clube;2,0
  Alagoas;Gestor de Loja de Armaria;0,0
  Bahia;Gestor de Loja de Armaria;6,0
  Ceará;Gestor de Loja de Armaria;0,0
  Distrito Federal;Gestor de Loja de Armaria;2,0
  Espírito Santo;Gestor de Loja de Armaria;0,0
  Goiás;Gestor de Loja de Armaria;10,0
  Mato Grosso;Gestor de Loja de Armaria;0,0
  Mato Grosso do Sul;Gestor de Loja de Armaria;2,0
  Minas Gerais;Gestor de Loja de Armaria;12,0
  Pará;Gestor de Loja de Armaria;0,0
  Paraíba;Gestor de Loja de Armaria;2,0
  Paraná;Gestor de Loja de Armaria;7,0
  Pernambuco;Gestor de Loja de Armaria;0,0
  Rio de Janeiro;Gestor de Loja de Armaria;6,0
  Rio Grande do Norte;Gestor de Loja de Armaria;0,0
  Rio Grande do Sul;Gestor de Loja de Armaria;15,0
  Rondônia;Gestor de Loja de Armaria;0,0
  Santa Catarina;Gestor de Loja de Armaria;9,0
  São Paulo;Gestor de Loja de Armaria;29,0
  Tocantins;Gestor de Loja de Armaria;0,0
  Alagoas;Coluna1;0,25
  Bahia;Coluna1;4,5
  Ceará;Coluna1;2,0
  Distrito Federal;Coluna1;3,5
  Espírito Santo;Coluna1;2,0
  Goiás;Coluna1;4,75
  Mato Grosso;Coluna1;1,0
  Mato Grosso do Sul;Coluna1;1,75
  Minas Gerais;Coluna1;12,75
  Pará;Coluna1;0,5
  Paraíba;Coluna1;1,75
  Paraná;Coluna1;6,5
  Pernambuco;Coluna1;2,0
  Rio de Janeiro;Coluna1;6,25
  Rio Grande do Norte;Coluna1;0,5
  Rio Grande do Sul;Coluna1;11,5
  Rondônia;Coluna1;0,75
  Santa Catarina;Coluna1;7,25
  São Paulo;Coluna1;29,25
  Tocantins;Coluna1;1,25
