UF;Usuário Final;Gestor de Clube;Gestor de Loja de Armaria
  Alagoas;0,5;0;0,0
  Bahia;4,5;3;6,0
  Ceará;2,0;4;0,0
  Distrito Federal;3,0;6;2,0
  Espírito Santo;3,0;2;0,0
  Goiás;3,0;3;10,0
  Mato Grosso;2,0;0;0,0
  Mato Grosso do Sul;2,5;0;2,0
  Minas Gerais;10,5;18;12,0
  Pará;0,0;2;0,0
  Paraíba;0,5;4;2,0
  Paraná;6,0;7;7,0
  Pernambuco;4,0;0;0,0
  Rio de Janeiro;7,5;4;6,0
  Rio Grande do Norte;0,0;2;0,0
  Rio Grande do Sul;10,5;10;15,0
  Rondônia;0,0;3;0,0
  Santa Catarina;6,5;7;9,0
  São Paulo;32,5;23;29,0
  Tocantins;1,5;2;0,0
